time,tavg,tmin,tmax,prcp,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,20.5,14.3,29.0,,2009-01-01,27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,16,18,18,18,11,2,91,0.0,1014,14,10,109,8
2009-02-01,20.0,15.8,,,2009-02-01,32,14,0.0,11.6,6,1,43,10:30 AM,11:20 PM,06:46 AM,06:21 PM,13,18,18,18,18,6,72,0.0,1013,17,10,111,9
2009-03-01,20.5,15.3,27.4,,2009-03-01,36,17,0.0,11.6,7,1,30,09:13 AM,10:12 PM,06:35 AM,06:28 PM,5,22,24,22,15,0,32,0.0,1011,19,10,151,7
2009-04-01,19.9,15.0,27.4,,2009-04-01,36,19,0.0,11.6,7,1,42,10:45 AM,No moonset,06:16 AM,06:31 PM,14,25,26,25,8,1,51,0.0,1009,21,10,160,6
2009-05-01,19.9,14.7,26.4,,2009-05-01,38,23,0.0,12.8,6,1,44,11:46 AM,No moonset,05:59 AM,06:34 PM,19,27,27,26,13,18,68,0.2,1010,25,9,255,10
2009-06-01,20.1,14.2,27.5,,2009-06-01,31,22,0.0,11.9,5,1,57,01:21 PM,12:56 AM,05:52 AM,06:43 PM,20,25,25,23,13,65,83,0.0,1008,22,10,258,9
2009-07-01,20.7,15.2,28.2,,2009-07-01,29,20,0.0,12.9,6,1,58,01:51 PM,12:55 AM,05:57 AM,06:50 PM,19,21,21,21,23,30,89,0.0,1009,21,10,255,15
2009-08-01,20.3,18.0,24.4,,2009-08-01,27,20,0.0,8.9,5,1,69,03:17 PM,01:56 AM,06:05 AM,06:47 PM,19,21,21,21,18,93,93,0.0,1010,20,10,287,12
2009-09-01,21.1,16.4,27.5,0.0,2009-09-01,26,20,0.0,8.9,5,1,83,04:18 PM,03:15 AM,06:08 AM,06:30 PM,19,20,20,20,15,61,94,0.0,1011,20,2,279,10
2009-10-01,20.9,16.2,27.4,,2009-10-01,22,20,0.0,6.0,5,1,83,04:10 PM,03:33 AM,06:09 AM,06:09 PM,19,20,20,20,25,100,96,1.3,1005,20,9,269,16
2009-11-01,20.8,16.7,26.5,,2009-11-01,28,18,0.0,8.7,5,1,97,04:39 PM,04:38 AM,06:13 AM,05:53 PM,18,19,19,19,15,100,98,0.0,1012,18,0,77,7
2009-12-01,21.9,15.8,27.1,,2009-12-01,27,17,0.0,8.7,5,1,97,04:55 PM,05:11 AM,06:26 AM,05:51 PM,18,18,18,18,14,100,99,0.0,1015,18,0,94,9
2009-01-02,23.3,15.3,31.4,,2009-01-02,27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,16,16,16,19,100,98,0.0,1015,16,0,101,10
2009-02-02,24.0,17.1,32.0,,2009-02-02,32,15,0.0,11.6,6,1,50,11:14 AM,No moonset,06:46 AM,06:21 PM,15,20,20,20,16,0,76,0.0,1015,17,10,105,9
